User ID,Id,StepTotal,Calories,VeryActiveMinutes,LightlyActiveMinutes,FairlyActiveMinutes,SedentaryMinutes
5,1927972279,2704,2411,14,70,1,1355
5,1927972279,2091,2383,0,108,0,1332
5,1927972279,2163,2383,0,88,9,1292
5,1927972279,1675,2351,0,95,0,1167
5,1927972279,1786,2338,0,87,0,1353
5,1927972279,2090,2324,1,75,6,1358
5,1927972279,1510,2229,0,48,0,1392
5,1927972279,980,2221,0,51,0,941
5,1927972279,678,2220,0,55,0,734
5,1927972279,1326,2195,10,17,0,1413
5,1927972279,356,2151,0,32,0,986
5,1927972279,244,2111,0,17,0,1423
5,1927972279,152,2100,0,12,0,1303
5,1927972279,149,2093,0,10,0,1430
5,1927972279,0,2064,0,0,0,1440
5,1927972279,0,2064,0,0,0,1440
5,1927972279,0,2064,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,1383,0,0,0,966
6,2022484408,12453,3158,104,255,53,1028
6,2022484408,15112,2897,48,276,63,1053
6,2022484408,12798,2797,57,271,28,1084
6,2022484408,10119,2793,55,275,24,1086
6,2022484408,15112,2782,28,331,29,1052
6,2022484408,14131,2770,48,311,3,1078
6,2022484408,12183,2752,72,250,14,1104
6,2022484408,18387,2732,13,361,23,1043
6,2022484408,13379,2709,35,297,47,1061
6,2022484408,11768,2649,36,272,27,1105
6,2022484408,12954,2638,52,273,10,1105
6,2022484408,10245,2611,21,281,40,1098
6,2022484408,11895,2609,55,253,20,1112
6,2022484408,12024,2601,43,292,5,1100
6,2022484408,13272,2544,58,224,25,1133
6,2022484408,13481,2529,37,216,26,1161
6,2022484408,11034,2525,27,282,9,1122
6,2022484408,10227,2498,24,295,17,1104
6,2022484408,11548,2489,31,250,7,1152
6,2022484408,10379,2473,36,277,8,1119
6,2022484408,11369,2470,44,217,8,1171
6,2022484408,10159,2463,19,282,20,1119
6,2022484408,11875,2390,42,227,14,1157
6,2022484408,10538,2380,25,245,28,1142
6,2022484408,10690,2312,32,257,3,1148
6,2022484408,10140,2296,6,291,20,1123
6,2022484408,10100,2177,41,151,11,1237
6,2022484408,6001,2069,0,249,0,1191
6,2022484408,6708,1995,20,149,2,1269
6,2022484408,9117,1853,16,236,16,728
6,2022484408,3292,1848,0,135,0,1305
7,2026352035,12167,1926,0,475,0,479
7,2026352035,12357,1916,0,432,0,458
7,2026352035,10685,1869,0,401,0,543
7,2026352035,8198,1736,0,383,0,511
7,2026352035,8580,1698,0,330,0,569
7,2026352035,7604,1692,0,352,0,492
7,2026352035,7018,1690,0,355,0,716
7,2026352035,7222,1667,0,327,0,623
7,2026352035,6564,1658,0,345,0,530
7,2026352035,6375,1649,0,331,0,626
7,2026352035,5992,1604,0,304,0,981
7,2026352035,5933,1595,0,288,0,1018
7,2026352035,6088,1593,0,286,0,586
7,2026352035,6017,1576,0,260,0,821
7,2026352035,5528,1555,0,258,0,610
7,2026352035,4993,1521,0,238,0,663
7,2026352035,4729,1506,0,233,0,594
7,2026352035,4193,1491,0,229,0,665
7,2026352035,4414,1459,3,181,8,706
7,2026352035,3609,1447,0,191,0,716
7,2026352035,3821,1444,0,188,0,687
7,2026352035,3335,1431,0,197,0,653
7,2026352035,3325,1419,0,182,0,1062
7,2026352035,3490,1401,0,164,0,704
7,2026352035,2915,1399,0,162,0,712
7,2026352035,2547,1373,0,150,0,728
7,2026352035,2467,1370,0,153,0,749
7,2026352035,8891,1364,0,343,0,330
7,2026352035,2424,1356,0,141,0,785
7,2026352035,838,1214,0,60,0,1053
7,2026352035,254,1141,0,17,0,1002
8,2320127002,10725,2124,13,306,9,1112
8,2320127002,7275,2003,0,335,0,1105
8,2320127002,7379,1972,0,319,0,1121
8,2320127002,7192,1922,0,283,11,1146
8,2320127002,6559,1905,0,260,7,1173
8,2320127002,6424,1903,0,300,0,1140
8,2320127002,6227,1899,0,290,0,1150
8,2320127002,7443,1878,20,206,10,1204
8,2320127002,6198,1852,0,249,0,1191
8,2320127002,5583,1851,0,266,0,1174
8,2320127002,5161,1821,0,247,0,1193
8,2320127002,5997,1811,0,228,11,1201
8,2320127002,5079,1804,0,242,0,1129
8,2320127002,5205,1801,0,245,0,1195
8,2320127002,5202,1780,0,223,11,1206
8,2320127002,4571,1779,0,234,0,1206
8,2320127002,4878,1742,0,204,0,1236
8,2320127002,4165,1725,0,204,0,1236
8,2320127002,5057,1724,0,195,0,1245
8,2320127002,3973,1696,0,191,0,1249
8,2320127002,3588,1654,3,152,5,1280
8,2320127002,3409,1632,0,147,0,1293
8,2320127002,3090,1630,0,145,0,1295
8,2320127002,3634,1613,5,123,6,1306
8,2320127002,3404,1610,1,127,10,1302
8,2320127002,1715,1481,0,82,0,1358
8,2320127002,1532,1473,0,76,0,1364
8,2320127002,1201,1426,0,52,0,1388
8,2320127002,924,1410,0,45,0,1395
8,2320127002,772,1403,0,40,0,1400
8,2320127002,2661,1125,0,128,0,830
9,2347167796,22244,2670,66,268,72,968
9,2347167796,16901,2629,32,360,35,591
9,2347167796,6711,2346,0,382,7,648
9,2347167796,10113,2344,28,320,13,964
9,2347167796,10999,2198,11,269,43,1011
9,2347167796,11423,2194,26,295,9,623
9,2347167796,9471,2187,0,360,0,584
9,2347167796,10465,2133,1,284,24,720
9,2347167796,9482,2095,15,277,11,653
9,2347167796,10080,2048,23,208,26,761
9,2347167796,10352,2038,19,195,32,676
9,2347167796,10129,2010,1,206,48,705
9,2347167796,7804,1946,9,206,27,781
9,2347167796,8247,1944,11,206,16,678
9,2347167796,5472,1882,1,249,7,508
9,2347167796,5980,1861,0,227,0,732
9,2347167796,5439,1854,0,229,0,764
9,2347167796,42,403,0,4,0,2
10,2873212765,7286,2241,46,366,0,1028
10,2873212765,9685,2148,47,305,1,1087
10,2873212765,8168,2096,46,326,0,1068
10,2873212765,9202,2094,22,378,5,1035
10,2873212765,8482,2063,0,448,0,992
10,2873212765,9317,2021,28,330,5,1077
10,2873212765,8278,2015,0,420,0,1020
10,2873212765,7618,2004,0,404,8,1028
10,2873212765,8796,1982,2,356,21,1061
10,2873212765,8314,1971,13,311,23,1093
10,2873212765,8859,1970,2,371,10,1057
10,2873212765,3516,1966,46,197,0,1197
10,2873212765,8275,1962,0,373,0,1067
10,2873212765,7948,1956,0,389,0,1051
10,2873212765,7063,1910,0,370,5,1065
10,2873212765,7373,1907,0,359,0,1081
10,2873212765,7726,1906,0,345,0,1095
10,2873212765,7412,1906,1,363,6,1070
10,2873212765,6873,1898,46,190,1,1203
10,2873212765,4940,1897,75,52,11,1302
10,2873212765,7910,1893,0,331,0,1109
10,2873212765,7762,1890,1,311,6,1122
10,2873212765,8242,1882,2,309,5,1124
10,2873212765,7525,1878,0,334,7,1099
10,2873212765,7913,1835,28,213,7,1192
10,2873212765,8452,1830,5,248,20,1167
10,2873212765,6440,1826,0,319,0,1121
10,2873212765,7365,1780,20,206,23,1191
10,2873212765,7399,1739,7,196,18,1219
10,2873212765,2524,1529,0,160,8,1272
10,2873212765,7566,1431,0,268,0,720
11,3372868164,8857,2124,18,376,9,1037
11,3372868164,7904,2095,24,346,13,1057
11,3372868164,9715,2093,16,371,8,1045
11,3372868164,8844,2065,6,370,25,1039
11,3372868164,8283,2057,22,333,2,1083
11,3372868164,9135,2044,0,402,0,1038
11,3372868164,6798,2014,20,343,7,1070
11,3372868164,5995,2010,0,416,0,1024
11,3372868164,7396,1995,20,303,2,1115
11,3372868164,7711,1985,0,376,0,1064
11,3372868164,5512,1972,0,385,0,1055
11,3372868164,8199,1964,11,322,2,1105
11,3372868164,5250,1946,17,300,4,1119
11,3372868164,6731,1921,14,292,7,1127
11,3372868164,7451,1908,0,335,0,1105
11,3372868164,6905,1908,0,356,0,1084
11,3372868164,4880,1867,15,274,3,1148
11,3372868164,4747,1788,0,280,0,1160
11,3372868164,3843,1669,0,206,0,1234
11,3372868164,3077,1237,0,172,0,842
12,3977333714,16520,1760,24,176,143,713
12,3977333714,14335,1710,47,258,41,594
12,3977333714,14687,1667,8,151,122,1159
